statement,label
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Mason is trying to download a 880 MB game to his phone. After downloading 310 MB, his Internet connection slows to 3 MB/minute. How many more minutes will it take him to download the game? \n\n ANSWER: \nTo find out how many more minutes it will take to download the game, we need to divide the size of the remaining file (880 MB - 310 MB = 570 MB) by the download speed (3 MB/minute).\n570 MB / 3 MB/minute = 190 minutes\nTherefore, it will take Mason an additional 190 minutes to download the game.",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Maria collects stamps and wants to enlarge her collection. She has collected 40 stamps so far and plans to have 20% more. How many stamps in total does Maria want to collect? \n\n ANSWER: \nMaria wants to collect 48 stamps in total.\n\n EXPLANATION:\nTo find out how many stamps Maria wants to collect, we need to find 20% of the number of stamps she already has. 20% of 40 is 8, so Maria wants to collect 48 stamps in total.",0
"You are a helpful assistant. Please answer the question. \n\n QUESTION:One hundred people attended a party. Fifty percent of the attendees are women, thirty-five percent of them are men, and the rest are children. How many children attended the party? \n\n ANSWER: \nThe information provided in the question can be used to find the number of children who attended the party.\n\nFirst, let's calculate the total number of attendees: 100.\nNext, let's calculate the number of women attendees: 50% of 100 = 50.\nNow, let's calculate the number of men attendees: 35% of 100 = 35.\nFinally, let's subtract the number of men attendees from the total number of attendees to find the number of children attendees: 100 - 35 = 65.\nTherefore, there were 65 children at the party.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:This year the Oscar swag bags include two diamond earrings that cost $6,000 each, a new iPhone that costs $2,000, and some designer scarves that each cost $1,500. If the total value of the swag bag is $20,000, how many scarves are there? \n\n ANSWER: \nThere are 10 scarves in the Oscar swag bag.\n\nEXPLANATION:\nTo find the number of scarves in the bag, we need to divide the total value of the bag by the cost of each scarf. Since each scarf costs $1,500, we can divide the total value of the bag by $1,500 to find the number of scarves:\n$20,000 ÷ $1,500 = 13\nSo, there are 13 scarves in the Oscar swag bag.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Robin wants to buy jelly bracelets for her friends. She decides to buy one bracelet for each letter of the first name of her friends. Her friends are Jessica, Tori, Lily and Patrice. If each jelly bracelet costs $2, what is the total she will spend in dollars? \n\n ANSWER: \nRobin will spend $2 x 4 = $8 on jelly bracelets for her friends. ",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:Nicky went to the DMV. He spent 20 minutes waiting to take a number, and quadruple that amount of time plus 14 minutes waiting for his number to be called. How long did he wait total? \n\n ANSWER:  Nicky waited a total of 104 minutes.\n\nEXPLANATION:\nTo find the total time Nicky waited, we need to add the time he spent waiting to take a number (20 minutes) to the time he spent waiting for his number to be called (4 times that amount plus 14 minutes).\nSo, the total time Nicky waited is: 20 + (4 x 20) + 14 = 104 minutes.",1
You are a helpful assistant. Please answer the question. \n\n QUESTION:Kate saved $27 in March. She saved $13 in April and $28 in May. Then Kate spent $49 on a keyboard and $5 on a mouse. How much money does Kate have left? \n\n ANSWER: \nKate has $27 + $13 + $28 = $68 left.,1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:During the Mardi Gras parade, Latch caught four less than three times as many necklaces as did Rhonda.  If Rhonda caught half as many necklaces as did Boudreaux, and Boudreaux caught twelve necklaces, how many necklaces did Latch catch? \n\n ANSWER:  Latch caught 36 necklaces. ",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:On his farm, Mr. Valentino has 200 chickens, twice as many ducks as chickens and three times as many turkeys as ducks. How many birds does Mr. Valentino have on the farm in total? \n\n ANSWER: \nMr. Valentino has 200 chickens, 40 ducks, and 30 turkeys on his farm. Therefore, the total number of birds on the farm is 200 + 40 + 30 = 270 birds. ",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:In a zoo, a hare is 14 inches tall, while a camel is 24 times taller than the hare. How tall is the camel in feet? \n\n ANSWER: \nThe camel is 24 times taller than the hare, which means the camel is 24 x 14 = 312 inches tall.\nTo convert inches to feet, we divide by 12, since there are 12 inches in a foot. So the camel is 312 / 12 = 26 feet tall.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:A mathematician is working on two projects. He has one week to write 518 maths questions for one project and 476 questions for another project. If he completes the same number of questions every day, how many should he aim to complete each day? \n\n ANSWER: \nTo find out how many questions the mathematician should aim to complete each day, we need to divide the total number of questions by the number of days he has available.\nFor the first project, he has 518 questions to complete, and he has one week, which is 7 days. So, he should aim to complete 76 questions per day (518 / 7 = 76).\nFor the second project, he has 476 questions to complete, and he has one week, which is 7 days. So, he should aim to complete 66 questions per day (476 / 7 = 66).\nTherefore, the mathematician should aim to complete 76 questions per day for the first project and 66 questions per day for the second project.",1
"You are a helpful assistant. Please answer the question. \n\n QUESTION:John worked 8 hours a day every day from the 3rd to the 8th, including the 3rd and not including the 8th.  How many hours did he work? \n\n ANSWER: \nJohn worked 24 hours.\n\nEXPLANATION:\nJohn worked 8 hours a day from the 3rd to the 7th, so he worked a total of 8 x 7 = 56 hours. Since he did not work on the 8th, he did not work any additional hours on that day, so his total number of hours worked is 56 + 0 = 56 hours.",1
